KO_ID	KO_NAME	ALL_KO_NAMES
K01525	apaH	apaH|bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]|
K01526	E3.6.1.42	E3.6.1.42|guanosine-diphosphatase [EC:3.6.1.42]|
K01527	EGD1, BTF3	EGD1, BTF3|nascent polypeptide-associated complex subunit beta|
K01528	DNM1_3	DNM1_3|dynamin 1/3 [EC:3.6.5.5]|
K01529	yjjX	yjjX|inosine/xanthosine triphosphatase [EC:3.6.1.73]|
K01530	E7.6.2.1	E7.6.2.1|phospholipid-translocating ATPase [EC:7.6.2.1]|
K01531	mgtA, mgtB	mgtA, mgtB|P-type Mg2+ transporter [EC:7.2.2.14]|
K01532	PCA1, CAD2	PCA1, CAD2|Cd2+-exporting ATPase [EC:7.2.2.21]|
K01533	copB	copB|P-type Cu2+ transporter [EC:7.2.2.9]|
K01534	zntA	zntA|Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]|
K01535	PMA1, PMA2	PMA1, PMA2|H+-transporting ATPase [EC:7.1.2.1]|
K01536	ENA	ENA|P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]|
K01537	ATP2C	ATP2C|P-type Ca2+ transporter type 2C [EC:7.2.2.10]|
K01538	FXYD2, ATP1G1	FXYD2, ATP1G1|sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)|
K01539	ATP1A	ATP1A|sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]|
K01540	ATP1B, CD298	ATP1B, CD298|sodium/potassium-transporting ATPase subunit beta|
K01542	ATP4A	ATP4A|H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]|
K01543	ATP4B	ATP4B|H+/K+-exchanging ATPase subunit beta [EC:7.2.2.19]|
K01544	ATP12A	ATP12A|non-gastric H+/K+-exchanging ATPase [EC:7.2.2.19]|
K01545	kdpF	kdpF|potassium-transporting ATPase KdpF subunit|
K01546	kdpA	kdpA|potassium-transporting ATPase potassium-binding subunit|
K01547	kdpB	kdpB|potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]|
K01548	kdpC	kdpC|potassium-transporting ATPase KdpC subunit|
K01549	TIM11, ATP21	TIM11, ATP21|F-type H+-transporting ATP synthase subunit e|
K01551	arsA, ASNA1, GET3	arsA, ASNA1, GET3|arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]|
K01552	ecfA	ecfA|energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]|
K01554	K01554	K01554|8-oxo-dGDP phosphatase [EC:3.6.1.58]|
K01555	FAH, fahA	FAH, fahA|fumarylacetoacetase [EC:3.7.1.2]|
K01556	KYNU, kynU	KYNU, kynU|kynureninase [EC:3.7.1.3]|
K01557	FAHD1	FAHD1|acylpyruvate hydrolase [EC:3.7.1.5]|
K01558	WNT16	WNT16|wingless-type MMTV integration site family, member 16|
K01560	E3.8.1.2	E3.8.1.2|2-haloacid dehalogenase [EC:3.8.1.2]|
K01561	dehH	dehH|haloacetate dehalogenase [EC:3.8.1.3]|
K01562	DIO1	DIO1|type I thyroxine 5'-deiodinase [EC:1.21.99.4]|
K01563	dhaA	dhaA|haloalkane dehalogenase [EC:3.8.1.5]|
K01565	SGSH	SGSH|N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]|
K01567	pdaA	pdaA|peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]|
K01568	PDC, pdc	PDC, pdc|pyruvate decarboxylase [EC:4.1.1.1]|
K01569	oxdD	oxdD|oxalate decarboxylase [EC:4.1.1.2]|
K01571	oadA	oadA|oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]|
K01573	oadG	oadG|oxaloacetate decarboxylase (Na+ extruding) subunit gamma|
K01574	adc	adc|acetoacetate decarboxylase [EC:4.1.1.4]|
K01575	alsD, budA, aldC	alsD, budA, aldC|acetolactate decarboxylase [EC:4.1.1.5]|
K01576	mdlC	mdlC|benzoylformate decarboxylase [EC:4.1.1.7]|
K01577	oxc	oxc|oxalyl-CoA decarboxylase [EC:4.1.1.8]|
K01578	MLYCD	MLYCD|malonyl-CoA decarboxylase [EC:4.1.1.9]|
K01579	panD	panD|aspartate 1-decarboxylase [EC:4.1.1.11]|
K01580	E4.1.1.15, gadB, gadA, GAD	E4.1.1.15, gadB, gadA, GAD|glutamate decarboxylase [EC:4.1.1.15]|
K01581	E4.1.1.17, ODC1, speC, speF	E4.1.1.17, ODC1, speC, speF|ornithine decarboxylase [EC:4.1.1.17]|
K01582	E4.1.1.18, ldcC, cadA	E4.1.1.18, ldcC, cadA|lysine decarboxylase [EC:4.1.1.18]|
K01583	E4.1.1.19	E4.1.1.19|arginine decarboxylase [EC:4.1.1.19]|
K01584	adiA	adiA|arginine decarboxylase [EC:4.1.1.19]|
K01585	speA	speA|arginine decarboxylase [EC:4.1.1.19]|
K01586	lysA	lysA|diaminopimelate decarboxylase [EC:4.1.1.20]|
K01587	PAICS	PAICS|phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]|
K01588	purE	purE|5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]|
K01589	purK	purK|5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]|
K01590	hdc, HDC	hdc, HDC|histidine decarboxylase [EC:4.1.1.22]|
K01591	pyrF	pyrF|orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]|
K01592	TYDC	TYDC|tyrosine decarboxylase [EC:4.1.1.25]|
K01593	DDC, TDC	DDC, TDC|aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]|
K01594	CSAD	CSAD|sulfinoalanine decarboxylase [EC:4.1.1.29]|
K01595	ppc	ppc|phosphoenolpyruvate carboxylase [EC:4.1.1.31]|
K01596	E4.1.1.32, pckA, PCK	E4.1.1.32, pckA, PCK|phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]|
K01597	MVD, mvaD	MVD, mvaD|diphosphomevalonate decarboxylase [EC:4.1.1.33]|
K01598	PPCDC, coaC	PPCDC, coaC|phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]|
K01599	hemE, UROD	hemE, UROD|uroporphyrinogen decarboxylase [EC:4.1.1.37]|
K01601	rbcL	rbcL|ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]|
K01602	rbcS	rbcS|ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]|
K01604	mmdA	mmdA|methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]|
K01607	pcaC	pcaC|4-carboxymuconolactone decarboxylase [EC:4.1.1.44]|
K01608	gcl	gcl|tartronate-semialdehyde synthase [EC:4.1.1.47]|
K01609	trpC	trpC|indole-3-glycerol phosphate synthase [EC:4.1.1.48]|
K01610	E4.1.1.49, pckA	E4.1.1.49, pckA|phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]|
K01611	speD, AMD1	speD, AMD1|S-adenosylmethionine decarboxylase [EC:4.1.1.50]|
K01612	bsdC	bsdC|vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]|
K01613	psd, PISD	psd, PISD|phosphatidylserine decarboxylase [EC:4.1.1.65]|
K01615	gcdA	gcdA|glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]|
K01616	kgd	kgd|2-oxoglutarate decarboxylase [EC:4.1.1.71]|
K01617	dmpH, xylI, nahK	dmpH, xylI, nahK|2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77]|
K01618	E4.1.1.107	E4.1.1.107|3,4-dihydroxyphenylacetaldehyde synthase [EC:4.1.1.107]|
K01619	deoC, DERA	deoC, DERA|deoxyribose-phosphate aldolase [EC:4.1.2.4]|
K01620	ltaE	ltaE|threonine aldolase [EC:4.1.2.48]|
K01621	xfp, xpk	xfp, xpk|xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]|
K01622	K01622	K01622|fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]|
K01623	ALDO	ALDO|fructose-bisphosphate aldolase, class I [EC:4.1.2.13]|
K01624	FBA, fbaA	FBA, fbaA|fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|
K01625	eda	eda|2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]|
K01626	E2.5.1.54, aroF, aroG, aroH	E2.5.1.54, aroF, aroG, aroH|3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]|
K01627	kdsA	kdsA|2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]|
K01628	fucA	fucA|L-fuculose-phosphate aldolase [EC:4.1.2.17]|
K01629	rhaD	rhaD|rhamnulose-1-phosphate aldolase [EC:4.1.2.19]|
K01630	garL	garL|2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]|
K01631	dgoA	dgoA|2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]|
K01633	folB	folB|7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]|
K01634	SGPL1, DPL1	SGPL1, DPL1|sphinganine-1-phosphate aldolase [EC:4.1.2.27]|
K01635	lacD	lacD|tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]|
K01637	E4.1.3.1, aceA	E4.1.3.1, aceA|isocitrate lyase [EC:4.1.3.1]|
K01638	aceB, glcB	aceB, glcB|malate synthase [EC:2.3.3.9]|
K01639	E4.1.3.3, nanA, NPL	E4.1.3.3, nanA, NPL|N-acetylneuraminate lyase [EC:4.1.3.3]|
K01640	E4.1.3.4, HMGCL, hmgL	E4.1.3.4, HMGCL, hmgL|hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]|
K01641	E2.3.3.10	E2.3.3.10|hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]|
K01643	citF	citF|citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]|
K01644	citE	citE|citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]|
K01645	CER1	CER1|cerberus 1|
K01646	citD	citD|citrate lyase subunit gamma (acyl carrier protein)|
K01647	CS, gltA	CS, gltA|citrate synthase [EC:2.3.3.1]|
K01648	ACLY	ACLY|ATP citrate (pro-S)-lyase [EC:2.3.3.8]|
K01649	leuA, IMS	leuA, IMS|2-isopropylmalate synthase [EC:2.3.3.13]|
K01652	E2.2.1.6L, ilvB, ilvG, ilvI	E2.2.1.6L, ilvB, ilvG, ilvI|acetolactate synthase I/II/III large subunit [EC:2.2.1.6]|
K01653	E2.2.1.6S, ilvH, ilvN	E2.2.1.6S, ilvH, ilvN|acetolactate synthase I/III small subunit [EC:2.2.1.6]|
K01654	E2.5.1.56, neuB	E2.5.1.56, neuB|N-acetylneuraminate synthase [EC:2.5.1.56]|
K01655	LYS21, LYS20	LYS21, LYS20|homocitrate synthase [EC:2.3.3.14]|
K01656	TRP3	TRP3|anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]|
K01657	trpE	trpE|anthranilate synthase component I [EC:4.1.3.27]|
K01658	trpG	trpG|anthranilate synthase component II [EC:4.1.3.27]|
K01659	prpC	prpC|2-methylcitrate synthase [EC:2.3.3.5]|
K01661	menB	menB|naphthoate synthase [EC:4.1.3.36]|
K01662	dxs	dxs|1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]|
K01663	HIS7	HIS7|imidazole glycerol-phosphate synthase [EC:4.3.2.10]|
K01664	pabA	pabA|para-aminobenzoate synthetase component II [EC:2.6.1.85]|
K01665	pabB	pabB|para-aminobenzoate synthetase component I [EC:2.6.1.85]|
K01666	mhpE	mhpE|4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]|
K01667	tnaA	tnaA|tryptophanase [EC:4.1.99.1]|
K01668	E4.1.99.2	E4.1.99.2|tyrosine phenol-lyase [EC:4.1.99.2]|
K01669	phrB	phrB|deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]|
K01670	nmsA	nmsA|naphthyl-2-methylsuccinate synthase alpha subunit [EC:4.1.99.-]|
K01671	yihT	yihT|sulfofructosephosphate aldolase [EC:4.1.2.57]|
K01672	CA	CA|carbonic anhydrase [EC:4.2.1.1]|
K01673	cynT, can	cynT, can|carbonic anhydrase [EC:4.2.1.1]|
K01674	cah	cah|carbonic anhydrase [EC:4.2.1.1]|
K01675	fumD	fumD|fumarate hydratase D [EC:4.2.1.2]|
K01676	E4.2.1.2A, fumA, fumB	E4.2.1.2A, fumA, fumB|fumarate hydratase, class I [EC:4.2.1.2]|
K01677	E4.2.1.2AA, fumA	E4.2.1.2AA, fumA|fumarate hydratase subunit alpha [EC:4.2.1.2]|
K01678	E4.2.1.2AB, fumB	E4.2.1.2AB, fumB|fumarate hydratase subunit beta [EC:4.2.1.2]|
K01679	E4.2.1.2B, fumC, FH	E4.2.1.2B, fumC, FH|fumarate hydratase, class II [EC:4.2.1.2]|
K01681	ACO, acnA	ACO, acnA|aconitate hydratase [EC:4.2.1.3]|
K01682	acnB	acnB|aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]|
K01683	araD	araD|D-arabinonate dehydratase [EC:4.2.1.5]|
K01684	dgoD	dgoD|galactonate dehydratase [EC:4.2.1.6]|
K01685	uxaA	uxaA|altronate hydrolase [EC:4.2.1.7]|
K01686	uxuA	uxuA|mannonate dehydratase [EC:4.2.1.8]|
K01687	ilvD	ilvD|dihydroxy-acid dehydratase [EC:4.2.1.9]|
K01689	ENO, eno	ENO, eno|enolase [EC:4.2.1.11]|
K01690	edd	edd|phosphogluconate dehydratase [EC:4.2.1.12]|
K01691	WIF1	WIF1|WNT inhibitory factor 1|
K01692	paaF, echA	paaF, echA|enoyl-CoA hydratase [EC:4.2.1.17]|
K01693	hisB	hisB|imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]|
K01694	TRP	TRP|tryptophan synthase [EC:4.2.1.20]|
K01695	trpA	trpA|tryptophan synthase alpha chain [EC:4.2.1.20]|
K01696	trpB	trpB|tryptophan synthase beta chain [EC:4.2.1.20]|
K01697	CBS	CBS|cystathionine beta-synthase [EC:4.2.1.22]|
K01698	hemB, ALAD	hemB, ALAD|porphobilinogen synthase [EC:4.2.1.24]|
K01699	pduC	pduC|propanediol dehydratase large subunit [EC:4.2.1.28]|
K01702	LEU1	LEU1|3-isopropylmalate dehydratase [EC:4.2.1.33]|
K01703	leuC, IPMI-L	leuC, IPMI-L|3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]|
K01704	leuD, IPMI-S	leuD, IPMI-S|3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]|
K01705	LYS4	LYS4|homoaconitate hydratase [EC:4.2.1.36]|
K01706	gudD	gudD|glucarate dehydratase [EC:4.2.1.40]|
K01707	kdgD	kdgD|5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]|
K01708	garD	garD|galactarate dehydratase [EC:4.2.1.42]|
K01709	rfbG	rfbG|CDP-glucose 4,6-dehydratase [EC:4.2.1.45]|
K01710	rfbB, rmlB, rffG	rfbB, rmlB, rffG|dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]|
K01711	gmd, GMDS	gmd, GMDS|GDPmannose 4,6-dehydratase [EC:4.2.1.47]|
K01712	hutU, UROC1	hutU, UROC1|urocanate hydratase [EC:4.2.1.49]|
K01713	pheC	pheC|cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]|
K01714	dapA	dapA|4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]|
K01715	crt	crt|enoyl-CoA hydratase [EC:4.2.1.17]|
K01716	fabA	fabA|3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]|
K01719	hemD, UROS	hemD, UROS|uroporphyrinogen-III synthase [EC:4.2.1.75]|
K01720	prpD	prpD|2-methylcitrate dehydratase [EC:4.2.1.79]|
K01721	nthA	nthA|nitrile hydratase subunit alpha [EC:4.2.1.84]|
K01723	AOS	AOS|hydroperoxide dehydratase [EC:4.2.1.92]|
K01724	PCBD, phhB	PCBD, phhB|4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]|
K01725	cynS	cynS|cyanate lyase [EC:4.2.1.104]|
K01726	GAMMACA	GAMMACA|gamma-carbonic anhydrase [EC:4.2.1.-]|
K01727	hysA, hylA, hylB	hysA, hylA, hylB|hyaluronate lyase [EC:4.2.2.1]|
K01728	pel	pel|pectate lyase [EC:4.2.2.2]|
K01729	algL	algL|poly(beta-D-mannuronate) lyase [EC:4.2.2.3]|
K01730	ogl	ogl|oligogalacturonide lyase [EC:4.2.2.6]|
K01731	pelW	pelW|pectate disaccharide-lyase [EC:4.2.2.9]|
K01732	E4.2.2.10	E4.2.2.10|pectin lyase [EC:4.2.2.10]|
K01733	thrC	thrC|threonine synthase [EC:4.2.3.1]|
K01734	mgsA	mgsA|methylglyoxal synthase [EC:4.2.3.3]|
K01735	aroB	aroB|3-dehydroquinate synthase [EC:4.2.3.4]|
K01736	aroC	aroC|chorismate synthase [EC:4.2.3.5]|
K01737	queD, ptpS, PTS	queD, ptpS, PTS|6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]|
K01738	cysK	cysK|cysteine synthase [EC:2.5.1.47]|
K01739	metB	metB|cystathionine gamma-synthase [EC:2.5.1.48]|
K01740	metY	metY|O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]|
K01741	E4.2.99.18	E4.2.99.18|DNA-(apurinic or apyrimidinic site) lyase [EC:4.2.99.18]|
K01742	THS	THS|thebaine synthase [EC:4.2.99.24]|
K01743	E4.2.1.1	E4.2.1.1|carbonic anhydrase [EC:4.2.1.1]|
K01744	aspA	aspA|aspartate ammonia-lyase [EC:4.3.1.1]|
K01745	hutH, HAL	hutH, HAL|histidine ammonia-lyase [EC:4.3.1.3]|
K01746	E4.3.1.4	E4.3.1.4|formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]|
K01749	hemC, HMBS	hemC, HMBS|hydroxymethylbilane synthase [EC:2.5.1.61]|
K01750	E4.3.1.12, ocd	E4.3.1.12, ocd|ornithine cyclodeaminase [EC:4.3.1.12]|
K01751	E4.3.1.15	E4.3.1.15|diaminopropionate ammonia-lyase [EC:4.3.1.15]|
K01752	E4.3.1.17, sdaA, sdaB, tdcG	E4.3.1.17, sdaA, sdaB, tdcG|L-serine dehydratase [EC:4.3.1.17]|
K01753	dsdA	dsdA|D-serine dehydratase [EC:4.3.1.18]|
K01754	E4.3.1.19, ilvA, tdcB	E4.3.1.19, ilvA, tdcB|threonine dehydratase [EC:4.3.1.19]|
K01755	argH, ASL	argH, ASL|argininosuccinate lyase [EC:4.3.2.1]|
K01756	purB, ADSL	purB, ADSL|adenylosuccinate lyase [EC:4.3.2.2]|
K01757	STR1	STR1|strictosidine synthase [EC:4.3.3.2]|
K01758	CTH	CTH|cystathionine gamma-lyase [EC:4.4.1.1]|
K01759	GLO1, gloA	GLO1, gloA|lactoylglutathione lyase [EC:4.4.1.5]|
K01760	metC	metC|cysteine-S-conjugate beta-lyase [EC:4.4.1.13]|
K01761	E4.4.1.11	E4.4.1.11|methionine-gamma-lyase [EC:4.4.1.11]|
K01762	ACS	ACS|1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]|
K01763	SCLY	SCLY|selenocysteine lyase [EC:4.4.1.16]|
K01764	HCCS	HCCS|cytochrome c heme-lyase [EC:4.4.1.17]|
K01765	ITPK4	ITPK4|inositol-1,3,4-trisphosphate 5/6-kinase [EC:2.7.1.159]|
K01766	csdA	csdA|cysteine sulfinate desulfinase [EC:4.4.1.-]|
K01768	E4.6.1.1	E4.6.1.1|adenylate cyclase [EC:4.6.1.1]|
K01769	E4.6.1.2	E4.6.1.2|guanylate cyclase, other [EC:4.6.1.2]|
K01770	ispF	ispF|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]|
K01771	plc	plc|1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]|
K01772	hemH, FECH	hemH, FECH|protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]|
K01773	CYP71B40_41	CYP71B40_41|aldoxime dehydratase [EC:4.99.1.-]|
K01774	fumE	fumE|fumarate hydratase E [EC:4.2.1.2]|
K01775	alr	alr|alanine racemase [EC:5.1.1.1]|
K01776	murI	murI|glutamate racemase [EC:5.1.1.3]|
K01777	prdF	prdF|proline racemase [EC:5.1.1.4]|
K01778	dapF	dapF|diaminopimelate epimerase [EC:5.1.1.7]|
K01779	racD	racD|aspartate racemase [EC:5.1.1.13]|
K01780	cntK	cntK|histidine racemase [EC:5.1.1.24]|
K01781	mdlA	mdlA|mandelate racemase [EC:5.1.2.2]|
K01782	fadJ	fadJ|3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]|
K01783	rpe, RPE	rpe, RPE|ribulose-phosphate 3-epimerase [EC:5.1.3.1]|
K01784	galE, GALE	galE, GALE|UDP-glucose 4-epimerase [EC:5.1.3.2]|
K01785	galM, GALM	galM, GALM|aldose 1-epimerase [EC:5.1.3.3]|
K01787	RENBP	RENBP|N-acylglucosamine 2-epimerase [EC:5.1.3.8]|
K01788	nanE	nanE|N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]|
K01790	rfbC, rmlC	rfbC, rmlC|dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]|
K01791	wecB	wecB|UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]|
K01792	E5.1.3.15	E5.1.3.15|glucose-6-phosphate 1-epimerase [EC:5.1.3.15]|
K01793	GLCE	GLCE|heparosan-N-sulfate-glucuronate 5-epimerase [EC:5.1.3.17]|
K01794	DSE	DSE|chondroitin-glucuronate 5-epimerase [EC:5.1.3.19]|
K01795	algG	algG|mannuronan 5-epimerase [EC:5.1.3.37]|
K01796	E5.1.99.4, AMACR, mcr	E5.1.99.4, AMACR, mcr|alpha-methylacyl-CoA racemase [EC:5.1.99.4]|
K01798	alr-murF	alr-murF|Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]|
K01799	nicE, maiA	nicE, maiA|maleate isomerase [EC:5.2.1.1]|
K01800	maiA, GSTZ1	maiA, GSTZ1|maleylacetoacetate isomerase [EC:5.2.1.2]|
K01801	nagL	nagL|maleylpyruvate isomerase [EC:5.2.1.4]|
K01802	E5.2.1.8	E5.2.1.8|peptidylprolyl isomerase [EC:5.2.1.8]|
K01803	TPI, tpiA	TPI, tpiA|triosephosphate isomerase (TIM) [EC:5.3.1.1]|
K01804	araA	araA|L-arabinose isomerase [EC:5.3.1.4]|
K01805	xylA	xylA|xylose isomerase [EC:5.3.1.5]|
K01807	rpiA	rpiA|ribose 5-phosphate isomerase A [EC:5.3.1.6]|
K01808	rpiB	rpiB|ribose 5-phosphate isomerase B [EC:5.3.1.6]|
K01809	manA, MPI	manA, MPI|mannose-6-phosphate isomerase [EC:5.3.1.8]|
K01810	GPI, pgi	GPI, pgi|glucose-6-phosphate isomerase [EC:5.3.1.9]|
K01811	xylS, yicI	xylS, yicI|alpha-D-xyloside xylohydrolase [EC:3.2.1.177]|
K01812	uxaC	uxaC|glucuronate isomerase [EC:5.3.1.12]|
K01813	rhaA	rhaA|L-rhamnose isomerase [EC:5.3.1.14]|
K01814	hisA	hisA|phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]|
K01815	kduI	kduI|4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]|
K01816	hyi, gip	hyi, gip|hydroxypyruvate isomerase [EC:5.3.1.22]|
K01817	trpF	trpF|phosphoribosylanthranilate isomerase [EC:5.3.1.24]|
K01818	fucI	fucI|L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]|
K01819	E5.3.1.26, lacA, lacB	E5.3.1.26, lacA, lacB|galactose-6-phosphate isomerase [EC:5.3.1.26]|
K01820	rhaA	rhaA|L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]|
K01821	praC, xylH	praC, xylH|4-oxalocrotonate tautomerase [EC:5.3.2.6]|
K01822	E5.3.3.1	E5.3.3.1|steroid Delta-isomerase [EC:5.3.3.1]|
K01823	idi, IDI	idi, IDI|isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]|
K01824	EBP	EBP|cholestenol Delta-isomerase [EC:5.3.3.5]|
K01825	fadB	fadB|3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]|
K01826	hpaF, hpcD	hpaF, hpcD|5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]|
K01827	DCT	DCT|dopachrome tautomerase [EC:5.3.3.12]|
K01829	E5.3.4.1	E5.3.4.1|protein disulfide-isomerase [EC:5.3.4.1]|
K01830	PTGDS	PTGDS|prostaglandin-H2 D-isomerase [EC:5.3.99.2]|
K01831	PTGIS, CYP8A	PTGIS, CYP8A|prostacyclin synthase [EC:5.3.99.4]|
K01832	TBXAS1, CYP5A	TBXAS1, CYP5A|thromboxane-A synthase [EC:5.3.99.5]|
K01833	TRYS	TRYS|trypanothione synthetase/amidase [EC:6.3.1.9 3.5.1.-]|
K01834	PGAM, gpmA	PGAM, gpmA|2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]|
K01835	pgm	pgm|phosphoglucomutase [EC:5.4.2.2]|
K01836	PGM3	PGM3|phosphoacetylglucosamine mutase [EC:5.4.2.3]|
K01837	BPGM	BPGM|bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]|
K01838	pgmB	pgmB|beta-phosphoglucomutase [EC:5.4.2.6]|
K01839	deoB	deoB|phosphopentomutase [EC:5.4.2.7]|
K01840	manB	manB|phosphomannomutase [EC:5.4.2.8]|
K01841	pepM	pepM|phosphoenolpyruvate phosphomutase [EC:5.4.2.9]|
K01843	kamA	kamA|lysine 2,3-aminomutase [EC:5.4.3.2]|
K01844	kamD	kamD|beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]|
K01845	hemL	hemL|glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]|
K01846	glmS, mutS, mamA	glmS, mutS, mamA|methylaspartate mutase sigma subunit [EC:5.4.99.1]|
K01847	MUT	MUT|methylmalonyl-CoA mutase [EC:5.4.99.2]|
K01848	E5.4.99.2A, mcmA1	E5.4.99.2A, mcmA1|methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]|
K01849	E5.4.99.2B, mcmA2	E5.4.99.2B, mcmA2|methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]|
K01850	E5.4.99.5	E5.4.99.5|chorismate mutase [EC:5.4.99.5]|
K01851	pchA	pchA|salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]|
K01852	LSS, ERG7	LSS, ERG7|lanosterol synthase [EC:5.4.99.7]|
K01853	CAS1	CAS1|cycloartenol synthase [EC:5.4.99.8]|
